bodyId,type,instance,class,superclass,somaSide,sensory_group
430178,JO-EV1,JO-EV1_R,mechanosensory,cb_sensory,,johnstons_organ
432109,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
433400,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
433407,JO-ED2_a,JO-ED2_a_R,mechanosensory,cb_sensory,,johnstons_organ
433834,JO-EV2,JO-EV2_L,mechanosensory,cb_sensory,,johnstons_organ
435445,JO-A-unclear,JO-A-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
439338,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
448449,JO-EV2,JO-EV2_R,mechanosensory,cb_sensory,,johnstons_organ
453447,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
462482,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
464153,JO-FV,JO-FV_R,mechanosensory,cb_sensory,,johnstons_organ
468050,JO-CM,JO-CM_R,mechanosensory,cb_sensory,,johnstons_organ
471787,JO-FV,JO-FV_R,mechanosensory,cb_sensory,,johnstons_organ
473437,JO-unclear,JO-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
478230,JO-B1_c,JO-B1_c_L,mechanosensory,cb_sensory,,johnstons_organ
480695,JO-unclear,JO-unclear_L,mechanosensory,cb_sensory,,johnstons_organ
482280,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
483594,JO-EV1,JO-EV1_R,mechanosensory,cb_sensory,,johnstons_organ
487107,JO-EV2,JO-EV2_R,mechanosensory,cb_sensory,,johnstons_organ
491190,JO-A2,JO-A2_L,mechanosensory,cb_sensory,,johnstons_organ
491302,JO-EV3,JO-EV3_L,mechanosensory,cb_sensory,,johnstons_organ
494022,JO-EV2,JO-EV2_R,mechanosensory,cb_sensory,,johnstons_organ
495313,JO-EV1,JO-EV1_L,mechanosensory,cb_sensory,,johnstons_organ
496138,JO-B1_b,JO-B1_b_R,mechanosensory,cb_sensory,,johnstons_organ
512087,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
512226,JO-EV1,JO-EV1_R,mechanosensory,cb_sensory,,johnstons_organ
512237,JO-EV2,JO-EV2_R,mechanosensory,cb_sensory,,johnstons_organ
512238,JO-CL,JO-CL_R,mechanosensory,cb_sensory,,johnstons_organ
512239,JO-CL,JO-CL_R,mechanosensory,cb_sensory,,johnstons_organ
512629,JO-CM,JO-CM_R,mechanosensory,cb_sensory,,johnstons_organ
512630,JO-ED2_b,JO-ED2_b_R,mechanosensory,cb_sensory,,johnstons_organ
512631,JO-EV3,JO-EV3_R,mechanosensory,cb_sensory,,johnstons_organ
512632,JO-ED2_a,JO-ED2_a_R,mechanosensory,cb_sensory,,johnstons_organ
